"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 13 20:23:03 CST 2022","Sat Aug 13 20:23:03 CST 2022","3","","additionTest","","com.yl.junit5.testdemo.addition.additionTest","integerAdd","[2] 5, 6",""
"passed","Sat Aug 13 19:37:09 CST 2022","Sat Aug 13 19:37:09 CST 2022","47","","subtractionTest","","com.yl.junit5.testdemo.subtraction.subtractionTest","decimalsNumber","[1] 0.2, 0.01",""
"passed","Sat Aug 13 19:37:09 CST 2022","Sat Aug 13 19:37:09 CST 2022","3","","subtractionTest","","com.yl.junit5.testdemo.subtraction.subtractionTest","decimalsNumber","[2] 5, 0.5",""
"passed","Sat Aug 13 20:23:03 CST 2022","Sat Aug 13 20:23:03 CST 2022","57","","additionTest","","com.yl.junit5.testdemo.addition.additionTest","integerAdd","[1] 1, 2",""
